Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
470104;Länsförsäkringar Japan Index;    241,04;  241,04;2026-08-31
420646;Länsförsäkringar Kort Räntefond;    118,22;  118,22;2026-08-31
242081;Länsförsäkringar Lång Räntefond A;    166,50;  166,50;2026-08-31
599795;Länsförsäkringar Mix Vision A;    643,30;  643,30;2026-08-31
515676;Länsförsäkringar Småbolag Sverige Vision A;   1702,03; 1702,03;2026-08-31
814772;Länsförsäkringar Sparmål 2015;    277,48;  277,48;2026-08-31
778944;Länsförsäkringar Sparmål 2020;    309,31;  309,31;2026-08-31
743112;Länsförsäkringar Sparmål 2025;    410,33;  410,33;2026-08-31
707281;Länsförsäkringar Sparmål 2030;    487,97;  487,97;2026-08-31
671453;Länsförsäkringar Sparmål 2035;    286,63;  286,63;2026-08-31
635623;Länsförsäkringar Sparmål 2040;    307,07;  307,07;2026-08-31
832360;Länsförsäkringar Sparmål 2045;    373,13;  373,13;2026-08-31
434274;Länsförsäkringar Tillväxtmarknad Index A;    254,30;  254,30;2026-08-31
456475;Länsförsäkringar USA Aktiv A;   1327,26; 1327,26;2026-08-31
551507;Länsförsäkringar USA Index;   1193,86; 1193,86;2026-08-31
117002;Lärarfond Balanserad;     40,27;   40,27;2026-08-31
981175;Lärarfond Försiktig;     21,07;   21,07;2026-08-31
152835;Lärarfond Offensiv;     57,10;   57,10;2026-08-31
343665;Mercer Passive Sustainable Global Equity UCITS CCF;   1270,24; 1270,24;2026-08-31
615310;Naventi Balanserad Flex;    235,18;  235,18;2026-08-31
447086;Naventi Defensiv Flex;    169,59;  169,59;2026-08-31
727057;Naventi Offensiv Flex;    357,93;  357,93;2026-08-31
196097;Nordea European Sustainable Stars Equity Fund;   2696,96; 2696,96;2026-08-31
430975;Nordea Generationsfond 50-tal;    163,50;  163,50;2026-08-31
359315;Nordea Generationsfond 60-tal;    307,12;  307,12;2026-08-31
287656;Nordea Generationsfond 70-tal;    360,20;  360,20;2026-08-31
215996;Nordea Generationsfond 80-tal;    343,42;  343,42;2026-08-31
596429;Nordea Generationsfond 90-tal;    424,79;  424,79;2026-08-31
502633;Nordea Generationsfond Senior;    102,87;  102,87;2026-08-31
282517;Nordea Global;     12,32;   12,32;2026-08-31
995571;Nordea Globala Tillväxtmarknader ;    622,88;  622,88;2026-08-31
469692;Nordea Indienfond;    453,63;  453,63;2026-08-31
653097;Nordea Kinafond;    299,74;  299,74;2026-08-31
861757;Nordea Nordic Fund;      3,43;    3,43;2026-08-31
648964;Nordea Obligationsfond;    124,92;  124,92;2026-08-31
131409;Nordea Realräntefond;    171,16;  171,16;2026-08-31
286294;Nordea Småbolagsfond Norden;    342,63;  342,63;2026-08-31
428078;Nordea Småbolagsfond Sverige;    650,40;  650,40;2026-08-31
840090;Nordea Stratega Ränta;    139,35;  139,35;2026-08-31
613133;Nordea Swedish Bond Stars;    109,66;  109,66;2026-08-31
419101;Odin Emerging Markets C;    579,52;  579,29;2026-08-31
332156;Odin Fastighet C;   1264,33; 1263,84;2026-08-31
562421;Odin Global C;    554,38;  554,17;2026-08-31
562728;Odin Norge C ;   9239,33; 9235,72;2026-08-31
165755;Pareto Aksje Norge B;   5347,02; 5344,93;2026-08-28
912691;Pareto Global B;   4860,10; 4858,21;2026-08-31
134593;Pareto Räntefond A;   1297,67; 1297,67;2026-08-31
917955;Pictet Asian  Equities Ex Japan R;   3837,09; 3836,49;2026-08-31
260919;Pictet Biotech R;  12690,95;12688,96;2026-08-31
882126;Pictet China Equities R;   4614,24; 4613,51;2026-08-31
887497;Pictet Clean Energy Transition R;   2140,87; 2140,54;2026-08-31
296749;Pictet Digital R;   6809,13; 6808,07;2026-08-31
404236;Pictet Emerging Markets R;   7357,71; 7356,56;2026-08-31
280925;Pictet EUR Bonds R;   5234,47; 5233,76;2026-08-27
173435;Pictet Global Emerging Debt R;   4119,91; 4119,26;2026-08-27
690693;Pictet Global Megatrend Selection R;   3972,96; 3972,34;2026-08-31
874271;Pictet Indian Equities R;   7066,87; 7065,77;2026-08-31
910109;Pictet Japanese Equity Opportunities R;   1520,94; 1520,68;2026-08-31
688986;Pictet Longevity R;   2610,10; 2609,69;2026-08-31
923383;Pictet Premium Brands R;   2602,46; 2602,11;2026-08-31
968891;Pictet Security R;   4125,34; 4124,70;2026-08-31
755033;Pictet Timber R;   1815,78; 1815,49;2026-08-31
189258;Pictet Water R;   4595,00; 4594,38;2026-08-31
241661;Pictet-Emerging Corporate Bonds R ;   1313,61; 1313,40;2026-08-27
487108;Prior & Nilsson Realinvest A;   3801,69; 3801,69;2026-08-31
670091;S-Bank Emerging Markets Equity Fund;    262,90;  262,86;2026-08-31
324665;S-Banken Fenno Aktie A;   5731,24; 5730,47;2026-08-31
360495;S-Banken USA Aktie A;    863,83;  863,72;2026-08-31
531310;SEB 3 - SEB Sweden Equity Fund;    141,28;  141,28;2026-08-31
301580;SEB Aktiesparfond;     34,11;   34,11;2026-08-31
914945;SEB Asienfond ex Japan;     44,83;   44,83;2026-08-31
639633;SEB Asset Selection Fund C;    174,44;  174,44;2026-08-28
651679;SEB Dynamic Bond Fund C;    120,29;  120,29;2026-08-31
520759;SEB Dynamisk Aktiefond;     32,91;   32,91;2026-08-28
950774;SEB Emerging Marketsfond;     54,08;   54,08;2026-08-28
556589;SEB Europafond Småbolag;    118,69;  118,69;2026-08-31
988600;SEB Europe Equity Fund;   1461,80; 1461,60;2026-08-28
698952;SEB Global Aktiefond;     40,93;   40,93;2026-08-31
882358;SEB Global High Yield Fund C;    215,05;  215,05;2026-08-28
405704;SEB Green Bond Fund C;    103,45;  103,45;2026-08-28
229922;SEB Läkemedelsfond;     34,87;   34,87;2026-08-31
916354;SEB Nordamerikafond Små och Medelstora Bolag A;   5196,51; 5196,51;2026-08-31
484923;SEB Nordenfond;     79,66;   79,66;2026-08-31
710467;SEB Nordic Small Cap Fund;    103,18;  103,18;2026-08-28
997403;SEB Pension Fund C;    240,08;  240,08;2026-08-28
496497;SEB Realräntefond D;     12,64;   12,64;2026-08-31
495482;SEB Sverigefond;     58,41;   58,41;2026-08-31
499731;SEB Sverigefond Småbolag;    137,45;  137,45;2026-08-31
194092;SEB Teknologifond ;    156,98;  156,98;2026-08-28
879114;SEB Världenfond;     28,71;   28,71;2026-08-28
383159;SEB Östeuropafond Små och Medelstora Bolag ex Ryssland C;     63,35;   63,34;2026-08-28
443721;Seligson & Co Euroobligation A;     41,59;   41,58;2026-08-31
479550;Seligson & Co Global Top 25 Brands A;    223,75;  223,72;2026-08-31
416982;Seligson & Co Global Top 25 Pharmaceuticals A;    579,61;  579,54;2026-08-31
303701;Sensor Sverige Select;    443,85;  443,85;2026-08-31
832717;Simplicity Företagsobligationer A;    156,79;  156,79;2026-08-31
934711;Simplicity Global Corporate Bond A;    148,36;  148,36;2026-08-31
418699;Simplicity Likviditet A;    130,43;  130,43;2026-08-31
567140;Simplicity Sverige;    289,98;  289,98;2026-08-31
153007;SKAGEN Focus D;    283,97;  283,86;2026-08-31
984187;SKAGEN Global E;   3780,58; 3779,11;2026-08-31
501981;SKAGEN Kon-Tiki F;   1687,58; 1686,92;2026-08-31
260497;SKAGEN m2 C;    266,18;  266,08;2026-08-31
296327;SKAGEN Vekst C;   7199,00; 7196,19;2026-08-31
546960;Skandia Balanserad;    660,53;  660,53;2026-08-31
654459;Skandia Europa Exponering;   1157,33; 1157,33;2026-08-31
403642;Skandia Försiktig;    257,84;  257,84;2026-08-31
545426;Skandia Global Exponering A;    584,43;  584,43;2026-08-31
582791;Skandia Japan Exponering;    434,95;  434,95;2026-08-31
331983;Skandia Korträntefond;    147,17;  147,17;2026-08-31
256362;Skandia Nordamerika Exponering;    786,98;  786,98;2026-08-31
726117;Skandia Obligationsfond;    187,19;  187,19;2026-08-31
469817;Skandia Realräntefond;    158,76;  158,76;2026-08-31
103606;Skandia Småbolag Sverige;   1524,45; 1524,45;2026-08-31
439471;Skandia Time Global;   1355,87; 1355,87;2026-08-31
511139;Skandia USA;   2491,33; 2491,33;2026-08-31
475301;Skandia Världen;    972,71;  972,71;2026-08-31
465147;Spiltan Globalfond Investmentbolag;    323,58;  323,58;2026-08-31
560599;Spiltan Högräntefond;    142,81;  142,81;2026-08-31
972497;Spiltan Räntefond Sverige;    152,46;  152,46;2026-08-31
152181;Spiltan Småbolagsfond;   1473,44; 1473,44;2026-08-31
391482;SPP Generation 40-tal;    329,29;  329,29;2026-08-31
427310;SPP Generation 50-tal;    530,12;  530,12;2026-08-31
463141;SPP Generation 60-tal;   1031,63; 1031,63;2026-08-31
498972;SPP Generation 70-tal;    557,76;  557,76;2026-08-31
844522;SPP Generation 80-tal;    298,16;  298,16;2026-08-31
459891;Storebrand Emerging Markets A;    293,98;  293,98;2026-08-31
429316;Storebrand Emerging Markets Plus A;    322,69;  322,69;2026-08-31
140673;Storebrand Europa A;    313,31;  313,31;2026-08-31
331686;Storebrand FRN Företagsobligation A;    136,01;  136,01;2026-08-31
126268;Storebrand Global Corporate Bond IG 4-6Y A SEK H;    106,80;  106,80;2026-08-31
912220;Storebrand Global High Dividend Low Volatility A;    375,16;  375,16;2026-08-31
527060;Storebrand Global Indeks A4;   2737,46; 2737,03;2026-08-31
162099;Storebrand Global Multifactor A;    256,63;  256,63;2026-08-31
184119;Storebrand Global Solutions A;    606,85;  606,85;2026-08-31
721506;Storebrand Grön Obligation A;    115,01;  115,01;2026-08-31
176503;Storebrand Japan A;    187,26;  187,26;2026-08-31
442897;Storebrand Kortränta A;    133,70;  133,70;2026-08-31
534800;Storebrand Obligation A;    153,04;  153,04;2026-08-31
248161;Storebrand USA A;    737,91;  737,91;2026-08-31
978981;Swedbank Robur Access Asien A;    532,24;  532,24;2026-08-31
755504;Swedbank Robur Access Europa A;    305,07;  305,07;2026-08-31
114819;Swedbank Robur Access Global A;    408,87;  408,87;2026-08-31
719674;Swedbank Robur Access Sverige A;    393,19;  393,19;2026-08-31
150649;Swedbank Robur Access USA A;    906,14;  906,14;2026-08-31
785022;Swedbank Robur Aktiefond Pension;     81,17;   81,17;2026-08-31
160267;Swedbank Robur Europafond A;     61,79;   61,79;2026-08-31
968420;Swedbank Robur Fastighet A;     67,71;   67,71;2026-08-31
928341;Swedbank Robur Healthcare A;     39,67;   39,67;2026-08-31
749192;Swedbank Robur Mixfond Pension;     35,61;   35,61;2026-08-31
677534;Swedbank Robur Obligation A;     13,93;   13,93;2026-08-31
717611;Swedbank Robur Räntefond Kort A;    112,71;  112,71;2026-08-31
896761;Swedbank Robur Small Cap Europe A;     48,03;   48,03;2026-08-28
856682;Swedbank Robur Småbolagsfond Sverige A;    254,17;  254,17;2026-08-31
607226;Swedbank Robur Sverige A;    865,79;  865,79;2026-08-31
283408;Swedbank Robur Technology A;   1848,04; 1848,04;2026-08-31
855387;Swedbank Robur Transfer 50;    203,45;  203,45;2026-08-31
819557;Swedbank Robur Transfer 60;    356,78;  356,78;2026-08-31
783720;Swedbank Robur Transfer 70;    588,51;  588,51;2026-08-31
747899;Swedbank Robur Transfer 80;    696,86;  696,86;2026-08-31
320762;Swedbank Robur Transfer 90;    537,00;  537,00;2026-08-31
425067;Templeton Emerging Markets Fund A;    832,02;  831,89;2026-08-28
460899;Templeton Global Bond Fund A;     10,34;   10,34;2026-08-28
861229;Tundra Sustainable Frontier Fund A;    357,43;  357,43;2026-08-31
780411;UB Infra Placeringsfond A;   2533,21; 2532,87;2026-08-31
144501;Ålandsbanken Euro Bond S Placeringsfond;    342,89;  342,89;2026-08-28
955435;Ålandsbanken Euro High Yield B Placeringsfond;    583,82;  583,74;2026-08-28
989491;Ålandsbanken Global Aktie B Placeringsfond;    234,99;  234,96;2026-08-28
123901;Ålandsbanken Kapitalförvaltning Placeringsfond;    439,47;  439,47;2026-08-28
521104;Ålandsbanken Norden Aktie Placeringsfond;   2362,92; 2362,92;2026-08-28
